,comment,label
0,"Mohammad harun, he is an awesome guy very informative and helpful. He helped me in booking my flight to india in a emergency situation and he finished all the formalities for me. I am really thankful to him and his team. You Rock Harun",Postive
1,"amazing guy gaurav was, so patience and kind. he helped me from start to end and also went out of the way to give me extra information. this was my first time booking with flydealfare but now this will be only website to book in future. thats because of agents like gaurav. Thank you gaurav.",Postive
2,Gaurav was very knowledgeable and very helpful he knows the situation and was able to do the job very professionally. Did not feel pressured to buy in a rush. His follow up is also very helpful.,Postive
3,I called them regarding my flight cancellation and narrated all my worries. They were very polite in assisting me. Told me that anytime I cancel my flight they will process the refund right away.,Postive
4,VERY GOOD SERVICE BY GAURAV LOHAT SERVED AS SOON AS I REACHED THEM . FOR ALL YOUR TRAVEL NEED MUST GIVE THEM A CHANCE .,Postive
5,"We have had very good experience with Flydealfare always. Mohamed Harun was very very helpful in answering all our queries.We had a very complex itinerary, but they made it easy for us. Thank you for your support.",Postive
6,"I'd like to highly commend your staffs from helping my colleague. Usually, they are the ones recommending me to sites and stores so this is my first time endorsing. So, thanks for being very helpful!",Postive
7,"Addicted to Trustpilot, has everything you need. Customer service are great, friendy and they reply so fast via email or phone if I had any concerns and inquires.",Postive
8,I would like to whole heartedly thank Mr Mohammed for the tickets refund.He worked diligently towards making sure that we get the refund at the earliest.It is the confidence building done by emplyoees like Mr Mohammed that leads to lon term relationship with the company they work for. I would say make sure u retain such employees .Once again thanks Mohammed and wish u a great future and career.,Postive
9,"Hi Mohd, I wanted to thank Mohd what a amazing guy he made a wonderful deal on my tickets I still can't believe it and if you go with fly deal fare so don't forget Mohd and I really appreciated for his help. Thank you again Mohd Harun- you were wonderful",Postive
10,"They have the best deal,affordable and reliable. Good customer service.",Postive
11,Aseem was so helpful and Quick. Thanks a lot for your help,Postive
12,As a service is very good. I would like to give extra stars if possible for his excellent service to the customers. Thanks you Chander :),Postive
13,"I have dealt with best agent “ Mohammed Harun” . He is un-comparable in interms of his service, explaining things about tickets n deals and follow up till the closure. I was working with flydealfarre for almost 3 yrs. every time, he is surprising by his nature. Thank you so much n continue your work.",Postive
14,Mohd Harun helped us in rebooking our fly tickets.,Postive
15,My name is Narinder Rai. I called flydeal fare for time and spoke to Mohd Harun. He is really a nice person. He helped me alot regarding my flight. He is very polite guy with all the solution of my problems.Thanks Mohd Harun.,Postive
16,"I’ve spoken to Kapil kumar regarding my flight cancellation. The process was done very quickly and he answered all my questions. Overall, I’m satisfied with the provided service.",Postive
17,I contacted FlyDealFare about flights to India. Md Harun from FlyDealFare provided required information and found him very responsive on my queries. I found the ticket prices competitive. Thank you Team FlyDealFare.,Postive
